1,15.6085,55.1099,-200
2,3.80499,31.6282,-200
3,-7.99856,8.14651,-200
4,-19.8021,-15.3352,-200
5,-31.6057,-38.8169,-200
6,15.6085,55.1099,-175
7,3.86189,31.5996,-175
8,-7.88477,8.08931,-175
9,-19.6314,-15.421,-175
10,-31.3781,-38.9312,-175
11,-3.63835,64.7847,-175
12,-15.3817,41.2728,-175
13,-27.125,17.7608,-175
14,-38.8683,-5.75116,-175
15,-50.6116,-29.2631,-175
16,-3.63835,64.7847,-200
17,-15.4419,41.303,-200
18,-27.2455,17.8214,-200
19,-39.049,-5.66032,-200
20,-50.8526,-29.142,-200
21,15.6085,55.1099,-150
22,3.91878,31.571,-150
23,-7.77098,8.03212,-150
24,-19.4607,-15.5068,-150
25,-31.1505,-39.0456,-150
26,-3.63835,64.7847,-150
27,-15.3214,41.2425,-150
28,-27.0045,17.7002,-150
29,-38.6876,-5.84201,-150
30,-50.3706,-29.3843,-150
31,16.2337,42.5273,-133.333
32,6.94977,23.8533,-133.333
33,-2.33413,5.17927,-133.333
34,-11.618,-13.4948,-133.333
35,-20.9019,-32.1688,-133.334
36,-2.3305,51.8429,-133.333
37,-11.6099,33.1667,-133.333
38,-20.8894,14.4904,-133.333
39,-30.1688,-4.18583,-133.333
40,-39.4482,-22.8621,-133.333
41,16.8585,29.9442,-116.666
42,9.98044,16.135,-116.666
43,3.10243,2.32586,-116.667
44,-3.77559,-11.4833,-116.667
45,-10.6536,-25.2924,-116.667
46,-1.02266,38.9011,-116.667
47,-7.89844,25.0909,-116.667
48,-14.7742,11.2806,-116.667
49,-21.65,-2.52965,-116.667
50,-28.5258,-16.3399,-116.667
51,17.483,17.3604,-100
52,13.0109,8.41618,-100
53,8.53872,-0.528095,-100
54,4.06659,-9.47237,-100
55,-0.405551,-18.4166,-100
56,0.285192,25.9594,-100
57,-4.18694,17.0151,-100
58,-8.65908,8.07081,-100
59,-13.1312,-0.873466,-100
60,-17.6034,-9.81774,-100
61,18.112,18.4794,-83.0743
62,14.8516,10.362,-83.4386
63,11.5913,2.24463,-83.8029
64,8.33098,-5.87275,-84.1672
65,5.07066,-13.9901,-84.5315
66,0.0642706,25.5723,-83.1256
67,-3.07931,17.4969,-83.37
68,-6.22288,9.4215,-83.6143
69,-9.36646,1.34609,-83.8586
70,-12.51,-6.72932,-84.1029
71,18.7173,19.7769,-66.2871
72,16.4047,12.2839,-66.8668
