        1.,         2.11077E+01,         5.23456E+01,        -2.00000E+02,         2.94905E+00,         2.49656E-01,         0.00000E+00
        2.,         9.30411E+00,         2.88640E+01,        -2.00000E+02,         1.47015E+01,        -2.55423E+00,         0.00000E+00
        3.,        -2.49945E+00,         5.38227E+00,        -2.00000E+02,         2.64358E+01,        -5.38227E+00,         0.00000E+00
        4.,        -1.43030E+01,        -1.80994E+01,        -2.00000E+02,         3.81736E+01,        -8.16871E+00,         0.00000E+00
        5.,        -2.61066E+01,        -4.15811E+01,        -2.00000E+02,         4.99380E+01,        -1.09752E+01,         0.00000E+00
        6.,         2.11077E+01,         5.23456E+01,        -1.75000E+02,         2.93560E+00,         2.50490E-01,         3.47202E-02
        7.,         9.36004E+00,         2.88358E+01,        -1.75000E+02,         1.46928E+01,        -2.52630E+00,         2.04997E-02
        8.,        -2.38757E+00,         5.32603E+00,        -1.75000E+02,         2.64284E+01,        -5.32603E+00,        -4.23727E-02
        9.,        -1.41352E+01,        -1.81838E+01,        -1.75000E+02,         3.81683E+01,        -8.08912E+00,        -9.78022E-02
       10.,        -2.58828E+01,        -4.16936E+01,        -1.75000E+02,         4.99383E+01,        -1.08688E+01,        -1.08814E-01
       11.,        -3.63835E+00,         6.47847E+01,        -1.75000E+02,        -1.66410E-02,        -1.21417E+01,        -1.97272E-02
       12.,        -1.53817E+01,         4.12728E+01,        -1.75000E+02,         1.17362E+01,        -1.49191E+01,        -2.94437E-02
       13.,        -2.71250E+01,         1.77608E+01,        -1.75000E+02,         2.34696E+01,        -1.77608E+01,        -8.42805E-02
       14.,        -3.88683E+01,        -5.75116E+00,        -1.75000E+02,         3.52088E+01,        -2.04893E+01,        -1.25278E-01
       15.,        -5.06116E+01,        -2.92631E+01,        -1.75000E+02,         4.69712E+01,        -2.32675E+01,        -1.26907E-01
       16.,        -3.63835E+00,         6.47847E+01,        -2.00000E+02,         0.00000E+00,        -1.21455E+01,         0.00000E+00
       17.,        -1.54419E+01,         4.13030E+01,        -2.00000E+02,         1.17440E+01,        -1.49525E+01,         0.00000E+00
       18.,        -2.72455E+01,         1.78214E+01,        -2.00000E+02,         2.34785E+01,        -1.78214E+01,         0.00000E+00
       19.,        -3.90490E+01,        -5.66032E+00,        -2.00000E+02,         3.52156E+01,        -2.05761E+01,         0.00000E+00
       20.,        -5.08526E+01,        -2.91420E+01,        -2.00000E+02,         4.69691E+01,        -2.33809E+01,         0.00000E+00
       21.,         2.11077E+01,         5.23456E+01,        -1.50000E+02,         2.87766E+00,         2.69528E-01,         5.29920E-02
       22.,         9.41598E+00,         2.88077E+01,        -1.50000E+02,         1.46567E+01,        -2.46516E+00,         7.68809E-02
       23.,        -2.27569E+00,         5.26980E+00,        -1.50000E+02,         2.63771E+01,        -5.26980E+00,        -9.83147E-02
       24.,        -1.39674E+01,        -1.82681E+01,        -1.50000E+02,         3.81077E+01,        -7.98203E+00,        -2.46112E-01
       25.,        -2.56590E+01,        -4.18060E+01,        -1.50000E+02,         4.99149E+01,        -1.07429E+01,        -1.78882E-01
       26.,        -3.63835E+00,         6.47847E+01,        -1.50000E+02,        -7.43019E-02,        -1.21361E+01,        -3.92293E-02
       27.,        -1.53214E+01,         4.12425E+01,        -1.50000E+02,         1.16952E+01,        -1.48731E+01,        -5.25402E-02
       28.,        -2.70045E+01,         1.77002E+01,        -1.50000E+02,         2.34208E+01,        -1.77002E+01,        -1.64213E-01
       29.,        -3.86876E+01,        -5.84201E+00,        -1.50000E+02,         3.51592E+01,        -2.03904E+01,        -2.43621E-01
       30.,        -5.03706E+01,        -2.93843E+01,        -1.50000E+02,         4.69501E+01,        -2.31449E+01,        -1.93734E-01
       31.,         2.15377E+01,         3.98657E+01,        -1.33333E+02,         8.35658E+00,         1.84281E+00,         1.51588E-01
       32.,         1.22525E+01,         2.11923E+01,        -1.33333E+02,         1.77217E+01,        -3.14396E-01,         2.24407E-01
       33.,         2.96735E+00,         2.51892E+00,        -1.33333E+02,         2.69806E+01,        -2.51892E+00,        -1.28577E-01
       34.,        -6.31783E+00,        -1.61545E+01,        -1.33334E+02,         3.62553E+01,        -4.71652E+00,        -4.30004E-01
       35.,        -1.56030E+01,        -3.48279E+01,        -1.33334E+02,         4.56609E+01,        -6.90996E+00,        -2.92645E-01
       36.,        -2.33050E+00,         5.18429E+01,        -1.33333E+02,         5.51503E+00,        -1.01592E+01,        -2.53849E-02
       37.,        -1.16099E+01,         3.31667E+01,        -1.33333E+02,         1.48669E+01,        -1.23167E+01,        -1.81765E-02
       38.,        -2.08894E+01,         1.44904E+01,        -1.33333E+02,         2.41445E+01,        -1.44904E+01,        -2.16713E-01
       39.,        -3.01688E+01,        -4.18583E+00,        -1.33333E+02,         3.34344E+01,        -1.67098E+01,        -3.67885E-01
       40.,        -3.94482E+01,        -2.28621E+01,        -1.33333E+02,         4.28201E+01,        -1.89010E+01,        -2.57130E-01
       41.,         2.19673E+01,         2.73850E+01,        -1.16666E+02,         1.38368E+01,         3.46157E+00,         5.42402E-01
       42.,         1.50887E+01,         1.35762E+01,        -1.16666E+02,         2.07824E+01,         1.86979E+00,         5.54478E-01
       43.,         8.21003E+00,        -2.32649E-01,        -1.16667E+02,         2.75266E+01,         2.32649E-01,        -1.66334E-01
       44.,         1.33139E+00,        -1.40415E+01,        -1.16667E+02,         3.43241E+01,        -1.38380E+00,        -7.51135E-01
       45.,        -5.54726E+00,        -2.78503E+01,        -1.16667E+02,         4.13101E+01,        -3.05562E+00,        -6.66772E-01
       46.,        -1.02266E+00,         3.89011E+01,        -1.16667E+02,         1.10799E+01,        -8.09684E+00,         1.12563E-01
       47.,        -7.89844E+00,         2.50909E+01,        -1.16667E+02,         1.80243E+01,        -9.66316E+00,         1.36963E-01
       48.,        -1.47742E+01,         1.12806E+01,        -1.16667E+02,         2.48110E+01,        -1.12806E+01,        -3.15670E-01
       49.,        -2.16500E+01,        -2.52965E+00,        -1.16667E+02,         3.16340E+01,        -1.29254E+01,        -6.78449E-01
       50.,        -2.85258E+01,        -1.63399E+01,        -1.16667E+02,         3.86108E+01,        -1.45822E+01,        -4.91074E-01
       51.,         2.23967E+01,         1.49036E+01,        -1.00000E+02,         1.95022E+01,         4.11133E+00,         1.83979E+00
       52.,         1.79245E+01,         5.95935E+00,        -1.00000E+02,         2.37700E+01,         3.32326E+00,         8.94313E-01
       53.,         1.34524E+01,        -2.98492E+00,        -1.00000E+02,         2.79640E+01,         2.98492E+00,        -1.51530E-01
       54.,         8.98024E+00,        -1.19292E+01,        -1.00000E+02,         3.22220E+01,         1.39838E+00,        -1.09199E+00
       55.,         4.50811E+00,        -2.08735E+01,        -1.00000E+02,         3.66818E+01,         2.51974E-01,        -1.68535E+00
       56.,         2.85192E-01,         2.59594E+01,        -1.00000E+02,         1.68670E+01,        -6.49360E+00,         9.01166E-01
       57.,        -4.18694E+00,         1.70151E+01,        -1.00000E+02,         2.11895E+01,        -7.36606E+00,         3.47242E-01
       58.,        -8.65908E+00,         8.07081E+00,        -1.00000E+02,         2.53752E+01,        -8.07081E+00,        -4.54751E-01
       59.,        -1.31312E+01,        -8.73466E-01,        -1.00000E+02,         2.96135E+01,        -9.39934E+00,        -1.17128E+00
       60.,        -1.76034E+01,        -9.81774E+00,        -1.00000E+02,         3.40574E+01,        -1.05498E+01,        -1.46493E+00
       61.,         2.36677E+01,         1.73270E+01,        -7.46740E+01,         1.92167E+01,        -9.18444E-01,         3.80191E+00
       62.,         2.08659E+01,         9.51419E+00,        -7.52111E+01,         2.19508E+01,        -1.16966E+00,         2.03266E+00
       63.,         1.80640E+01,         1.70138E+00,        -7.57481E+01,         2.48260E+01,        -1.70138E+00,         5.47035E-01
       64.,         1.52622E+01,        -6.11143E+00,        -7.62852E+01,         2.78527E+01,        -1.44832E+00,        -8.99671E-01
       65.,         1.24604E+01,        -1.39242E+01,        -7.68222E+01,         3.11055E+01,        -1.52261E+00,        -2.42638E+00
       66.,        -1.26912E-02,         2.54375E+01,        -7.46869E+01,         1.78647E+01,        -9.09196E+00,         1.66981E+00
       67.,        -2.59798E+00,         1.77117E+01,        -7.50124E+01,         2.05953E+01,        -9.45224E+00,         5.90343E-01
       68.,        -5.18328E+00,         9.98592E+00,        -7.53379E+01,         2.34406E+01,        -9.98592E+00,        -6.42157E-01
       69.,        -7.76857E+00,         2.26013E+00,        -7.56635E+01,         2.64118E+01,        -1.01139E+01,        -1.80908E+00
       70.,        -1.03539E+01,        -5.46565E+00,        -7.59890E+01,         2.94978E+01,        -1.03955E+01,        -2.76762E+00
       71.,         2.47257E+01,         2.00891E+01,        -4.96375E+01,         1.81085E+01,        -5.99357E+00,         3.84279E+00
       72.,         2.30601E+01,         1.29827E+01,        -5.03996E+01,         1.97632E+01,        -5.95223E+00,         2.58021E+00
       73.,         2.13946E+01,         5.87641E+00,        -5.11616E+01,         2.15457E+01,        -5.87641E+00,         1.34083E+00
       74.,         1.97290E+01,        -1.22993E+00,        -5.19237E+01,         2.34585E+01,        -5.84050E+00,         7.10278E-02
       75.,         1.80634E+01,        -8.33626E+00,        -5.26857E+01,         2.55107E+01,        -5.72359E+00,        -1.36110E+00
       76.,        -1.09160E-01,         2.52685E+01,        -4.93674E+01,         1.77263E+01,        -1.13135E+01,         8.56816E-01
       77.,        -1.40687E+00,         1.82888E+01,        -4.98240E+01,         1.93321E+01,        -1.13499E+01,         2.03786E-01
       78.,        -2.70457E+00,         1.13090E+01,        -5.02805E+01,         2.10018E+01,        -1.13090E+01,        -7.17323E-01
       79.,        -4.00228E+00,         4.32930E+00,        -5.07370E+01,         2.27746E+01,        -1.15001E+01,        -1.69390E+00
       80.,        -5.29999E+00,        -2.65042E+00,        -5.11936E+01,         2.46405E+01,        -1.15711E+01,        -2.46527E+00
       81.,         2.56077E+01,         2.29560E+01,        -2.46915E+01,         1.62821E+01,        -9.62006E+00,         3.97076E+00
       82.,         2.46372E+01,         1.61984E+01,        -2.54930E+01,         1.71532E+01,        -9.53308E+00,         3.04213E+00
       83.,         2.36668E+01,         9.44081E+00,        -2.62944E+01,         1.81367E+01,        -9.44081E+00,         2.08319E+00
       84.,         2.26963E+01,         2.68319E+00,        -2.70959E+01,         1.92086E+01,        -9.31207E+00,         1.10707E+00
       85.,         2.17258E+01,        -4.07443E+00,        -2.78973E+01,         2.03512E+01,        -9.20367E+00,         1.32537E-01
       86.,        -3.36647E-03,         2.54538E+01,        -2.40481E+01,         1.63994E+01,        -1.22925E+01,         4.58800E-01
       87.,        -5.12713E-01,         1.88413E+01,        -2.45340E+01,         1.71776E+01,        -1.22784E+01,         8.19497E-02
       88.,        -1.02206E+00,         1.22287E+01,        -2.50199E+01,         1.80523E+01,        -1.22287E+01,        -5.56047E-01
       89.,        -1.53141E+00,         5.61613E+00,        -2.55057E+01,         1.89884E+01,        -1.22669E+01,        -1.21691E+00
       90.,        -2.04075E+00,        -9.96429E-01,        -2.59916E+01,         1.99359E+01,        -1.22644E+01,        -1.64657E+00
       91.,         2.63223E+01,         2.57563E+01,         2.65539E-01,         1.40743E+01,        -1.26332E+01,         4.41365E+00
       92.,         2.57307E+01,         1.90801E+01,        -4.94392E-01,         1.43649E+01,        -1.25181E+01,         3.60784E+00
       93.,         2.51392E+01,         1.24040E+01,        -1.25432E+00,         1.47396E+01,        -1.24040E+01,         2.81977E+00
       94.,         2.45476E+01,         5.72791E+00,        -2.01425E+00,         1.51714E+01,        -1.22774E+01,         2.03307E+00
       95.,         2.39560E+01,        -9.48208E-01,        -2.77418E+00,         1.56314E+01,        -1.21422E+01,         1.24256E+00
       96.,         3.05543E-01,         2.59950E+01,         1.26440E+00,         1.43644E+01,        -1.30418E+01,         7.92794E-01
       97.,         2.01899E-01,         1.94750E+01,         7.95126E-01,         1.45523E+01,        -1.30123E+01,         4.45089E-01
       98.,         9.82541E-02,         1.29551E+01,         3.25849E-01,         1.48058E+01,        -1.29551E+01,        -6.12064E-02
       99.,        -5.39023E-03,         6.43508E+00,        -1.43429E-01,         1.51024E+01,        -1.29697E+01,        -5.74992E-01
      100.,        -1.09035E-01,        -8.48990E-02,        -6.12706E-01,         1.54074E+01,        -1.29448E+01,        -9.24184E-01
      101.,         2.70736E+01,         2.83841E+01,         2.51478E+01,         1.17901E+01,        -1.51520E+01,         5.09364E+00
      102.,         2.65940E+01,         2.16363E+01,         2.45302E+01,         1.16209E+01,        -1.50215E+01,         4.34583E+00
      103.,         2.61143E+01,         1.48886E+01,         2.39125E+01,         1.15136E+01,        -1.48886E+01,         3.61848E+00
      104.,         2.56346E+01,         8.14079E+00,         2.32949E+01,         1.14360E+01,        -1.47573E+01,         2.90772E+00
      105.,         2.51549E+01,         1.39303E+00,         2.26772E+01,         1.13555E+01,        -1.46266E+01,         2.21505E+00
      106.,         8.18365E-01,         2.68934E+01,         2.65635E+01,         1.20258E+01,        -1.38150E+01,         1.64984E+00
      107.,         8.56404E-01,         2.02973E+01,         2.61296E+01,         1.17643E+01,        -1.37708E+01,         1.26198E+00
      108.,         8.94442E-01,         1.37011E+01,         2.56958E+01,         1.15558E+01,        -1.37011E+01,         7.64435E-01
      109.,         9.32481E-01,         7.10501E+00,         2.52620E+01,         1.13728E+01,        -1.36968E+01,         2.74977E-01
      110.,         9.70520E-01,         5.08880E-01,         2.48281E+01,         1.11886E+01,        -1.36674E+01,        -7.95186E-02
      111.,         2.78379E+01,         3.08846E+01,         5.01259E+01,         9.61400E+00,        -1.74492E+01,         5.96194E+00
      112.,         2.73725E+01,         2.40009E+01,         4.96358E+01,         9.09146E+00,        -1.72837E+01,         5.22608E+00
      113.,         2.69071E+01,         1.71172E+01,         4.91457E+01,         8.61407E+00,        -1.71172E+01,         4.51620E+00
      114.,         2.64417E+01,         1.02336E+01,         4.86556E+01,         8.14899E+00,        -1.69514E+01,         3.82643E+00
      115.,         2.59763E+01,         3.34989E+00,         4.81654E+01,         7.66361E+00,        -1.67835E+01,         3.15944E+00
      116.,         1.53549E+00,         2.81498E+01,         5.18423E+01,         9.72630E+00,        -1.48406E+01,         2.88840E+00
      117.,         1.55671E+00,         2.14042E+01,         5.14522E+01,         9.12439E+00,        -1.47607E+01,         2.41335E+00
      118.,         1.57792E+00,         1.46587E+01,         5.10621E+01,         8.56281E+00,        -1.46587E+01,         1.87358E+00
      119.,         1.59913E+00,         7.91315E+00,         5.06720E+01,         8.01792E+00,        -1.46159E+01,         1.34872E+00
      120.,         1.62035E+00,         1.16762E+00,         5.02819E+01,         7.47109E+00,        -1.45525E+01,         9.26597E-01
      121.,         2.88111E+01,         3.33353E+01,         7.52194E+01,         7.68186E+00,        -1.96811E+01,         6.96992E+00
      122.,         2.82257E+01,         2.62899E+01,         7.48240E+01,         6.90266E+00,        -1.94643E+01,         6.22839E+00
      123.,         2.76402E+01,         1.92444E+01,         7.44286E+01,         6.15594E+00,        -1.92444E+01,         5.50845E+00
      124.,         2.70547E+01,         1.21990E+01,         7.40333E+01,         5.40885E+00,        -1.90249E+01,         4.80757E+00
      125.,         2.64693E+01,         5.15358E+00,         7.36379E+01,         4.63000E+00,        -1.88041E+01,         4.12789E+00
      126.,         2.45635E+00,         2.97630E+01,         7.70945E+01,         7.68073E+00,        -1.62072E+01,         4.36185E+00
      127.,         2.35109E+00,         2.28391E+01,         7.67542E+01,         6.82811E+00,        -1.60725E+01,         3.79441E+00
      128.,         2.24583E+00,         1.59152E+01,         7.64139E+01,         6.00710E+00,        -1.59152E+01,         3.19330E+00
      129.,         2.14057E+00,         8.99122E+00,         7.60736E+01,         5.19545E+00,        -1.58186E+01,         2.60860E+00
      130.,         2.03531E+00,         2.06729E+00,         7.57333E+01,         4.38117E+00,        -1.57043E+01,         2.09582E+00
      131.,         3.00810E+01,         3.57930E+01,         1.00305E+02,         6.08463E+00,        -2.19369E+01,         8.06143E+00
      132.,         2.92795E+01,         2.85852E+01,         9.99887E+01,         5.13966E+00,        -2.16600E+01,         7.30972E+00
      133.,         2.84780E+01,         2.13775E+01,         9.96725E+01,         4.21693E+00,        -2.13775E+01,         6.57094E+00
      134.,         2.76765E+01,         1.41697E+01,         9.93563E+01,         3.28375E+00,        -2.10952E+01,         5.84549E+00
      135.,         2.68750E+01,         6.96191E+00,         9.90402E+01,         2.31054E+00,        -2.08097E+01,         5.13664E+00
      136.,         3.58084E+00,         3.17330E+01,         1.02313E+02,         6.00583E+00,        -1.79545E+01,         5.96616E+00
      137.,         3.27600E+00,         2.46338E+01,         1.02027E+02,         4.98948E+00,        -1.77559E+01,         5.31161E+00
      138.,         2.97116E+00,         1.75345E+01,         1.01742E+02,         3.99721E+00,        -1.75345E+01,         4.64735E+00
      139.,         2.66632E+00,         1.04352E+01,         1.01456E+02,         3.00847E+00,        -1.73739E+01,         3.99596E+00
      140.,         2.36148E+00,         3.33598E+00,         1.01170E+02,         2.01519E+00,        -1.71962E+01,         3.38486E+00
      141.,         3.15990E+01,         3.82867E+01,         1.25336E+02,         4.85693E+00,        -2.42597E+01,         9.17335E+00
      142.,         3.05313E+01,         3.09400E+01,         1.25103E+02,         3.83358E+00,        -2.39309E+01,         8.41691E+00
      143.,         2.94635E+01,         2.35933E+01,         1.24869E+02,         2.82335E+00,        -2.35933E+01,         7.66093E+00
      144.,         2.83958E+01,         1.62466E+01,         1.24636E+02,         1.79395E+00,        -2.32555E+01,         6.90950E+00
      145.,         2.73281E+01,         8.89991E+00,         1.24402E+02,         7.17811E-01,        -2.29125E+01,         6.16559E+00
      146.,         4.90862E+00,         3.40592E+01,         1.27492E+02,         4.75000E+00,        -2.00974E+01,         7.61344E+00
      147.,         4.35889E+00,         2.68092E+01,         1.27264E+02,         3.65485E+00,        -1.98397E+01,         6.88245E+00
      148.,         3.80915E+00,         1.95593E+01,         1.27036E+02,         2.57785E+00,        -1.95593E+01,         6.16006E+00
      149.,         3.25941E+00,         1.23093E+01,         1.26809E+02,         1.49844E+00,        -1.93364E+01,         5.44399E+00
      150.,         2.70967E+00,         5.05935E+00,         1.26581E+02,         4.10722E-01,        -1.90973E+01,         4.73583E+00
      151.,         3.32714E+01,         4.08417E+01,         1.50478E+02,         3.98634E+00,        -2.66681E+01,         1.02612E+01
      152.,         3.19060E+01,         3.33848E+01,         1.50295E+02,         2.97035E+00,        -2.63042E+01,         9.50386E+00
      153.,         3.05407E+01,         2.59278E+01,         1.50112E+02,         1.95922E+00,        -2.59278E+01,         8.73207E+00
      154.,         2.91753E+01,         1.84709E+01,         1.49929E+02,         9.21070E-01,        -2.55523E+01,         7.95379E+00
      155.,         2.78100E+01,         1.10140E+01,         1.49746E+02,        -1.70137E-01,        -2.51689E+01,         7.17198E+00
      156.,         6.43898E+00,         3.67402E+01,         1.52623E+02,         3.90743E+00,        -2.26318E+01,         9.23285E+00
      157.,         5.61239E+00,         2.93725E+01,         1.52456E+02,         2.81746E+00,        -2.23296E+01,         8.43414E+00
      158.,         4.78579E+00,         2.20047E+01,         1.52288E+02,         1.73989E+00,        -2.20047E+01,         7.65842E+00
      159.,         3.95920E+00,         1.46370E+01,         1.52120E+02,         6.54027E-01,        -2.17336E+01,         6.88038E+00
      160.,         3.13261E+00,         7.26923E+00,         1.51953E+02,        -4.46334E-01,        -2.14460E+01,         6.07865E+00
      161.,         3.50214E+01,         4.34687E+01,         1.75748E+02,         3.43942E+00,        -2.91685E+01,         1.12950E+01
      162.,         3.33751E+01,         3.59444E+01,         1.75608E+02,         2.51311E+00,        -2.88027E+01,         1.05361E+01
      163.,         3.17288E+01,         2.84200E+01,         1.75468E+02,         1.58447E+00,        -2.84200E+01,         9.74719E+00
      164.,         3.00825E+01,         2.08956E+01,         1.75327E+02,         6.21548E-01,        -2.80417E+01,         8.94018E+00
      165.,         2.84362E+01,         1.33713E+01,         1.75187E+02,        -4.00568E-01,        -2.76519E+01,         8.11768E+00
      166.,         8.17086E+00,         3.97743E+01,         1.77701E+02,         3.42587E+00,        -2.55539E+01,         1.07696E+01
      167.,         7.05683E+00,         3.23323E+01,         1.77593E+02,         2.42524E+00,        -2.52326E+01,         9.90618E+00
      168.,         5.94281E+00,         2.48902E+01,         1.77485E+02,         1.43118E+00,        -2.48902E+01,         9.07850E+00
      169.,         4.82878E+00,         1.74482E+01,         1.77377E+02,         4.22420E-01,        -2.45937E+01,         8.23916E+00
      170.,         3.71475E+00,         1.00062E+01,         1.77269E+02,        -6.08899E-01,        -2.42807E+01,         7.34526E+00
      171.,         3.70258E+01,         4.61909E+01,         2.00884E+02,         3.15357E+00,        -3.17818E+01,         1.22526E+01
      172.,         3.51084E+01,         3.86460E+01,         2.00809E+02,         2.39657E+00,        -3.14520E+01,         1.14832E+01
      173.,         3.31910E+01,         3.11011E+01,         2.00733E+02,         1.63119E+00,        -3.11011E+01,         1.06695E+01
      174.,         3.12736E+01,         2.35561E+01,         2.00658E+02,         8.24896E-01,        -3.07603E+01,         9.82663E+00
      175.,         2.93562E+01,         1.60112E+01,         2.00583E+02,        -4.67720E-02,        -3.04039E+01,         8.95630E+00
      176.,         1.01032E+01,         4.31595E+01,         2.02720E+02,         3.22187E+00,        -2.88609E+01,         1.21837E+01
      177.,         8.70484E+00,         3.56912E+01,         2.02669E+02,         2.39121E+00,        -2.85514E+01,         1.12514E+01
      178.,         7.30651E+00,         2.82230E+01,         2.02618E+02,         1.56104E+00,        -2.82230E+01,         1.03676E+01
      179.,         5.90817E+00,         2.07547E+01,         2.02566E+02,         7.09471E-01,        -2.79312E+01,         9.46334E+00
